M,P,SENSOR 1,SENSOR 2,SENSOR 3,SENSOR 4,SENSOR 5,SENSOR 6,SENSOR 7,SENSOR 8
100,0,2.79492,0.69781,3.28598,1.32697,0.28424,1.45367,0.58745,1.68367
98,2,0.10183,0.27391,0.39414,0.16561,0.51281,0.23676,0.37418,0.22437
96,4,0.13343,0.16767,0.53161,0.16116,0.29535,0.24654,0.48047,0.24632
95,5,0.14894,0.21117,0.50989,0.12105,0.64315,0.22343,0.86366,0.21249
94,6,0.11608,0.24025,0.61854,0.18683,0.01027,0.27455,0.55266,0.27851
92,8,0.15208,0.22737,0.35479,0.1389,0.50591,0.22563,0.77035,0.22878
90,10,0.12583,0.26116,0.15486,0.15486,0.35259,0.25379,0.40259,0.23382
85,15,0.076589,0.01371,0.51905,0.00638,10.37405,0.21229,6.78347,0.10782
80,20,0.05062,0.05305,0.1227,0.11408,3.60825,0.01303,2.70918,0.05253
70,30,0.06262,0.098064,0.06139,0.1171,2.11649,0.0713,1.59176,0.10966
0,100,0.03819,0.09215,0.24748,0.01603,2.33795,0.00597,0.8612,0.04735